location;color;project_number;cris_number
District d’Abidjan, Commune d’Abobo, Quartier d’Abobo Nord;;1;238691
Abidjan;;2;280342
Région de Zanzan;;3;283253
Départements de Tiébissou, Didiévi et Vavoua;;4;280047
Abidjan;;5;21309
Abidjan;;6;238695
Abidjan;;7;23813
Abidjan;;8;21384
Abengourou, (à l'Est), Bondoukou (Nord-Est), Korhogo, Odiénné (au Nord), Man, Touba, Guiglo, San Pedro (à l'Ouest), Jacqueville, Bingerville et Abidjan (au Sud). ;;9;22049
District de Tabou;;10;281093
régions des 18 Montagnes (Man, Danané), du Bas Sassandra (Sassandra, Tabou), des Lacs (Yamoussoukro), du Moyen Cavally (Guiglo), de la Vallée du Bandama (Bouaké), des Savanes (Korhogo) ;;11;238731
Abidjan;;12;206174
région de la vallée du Bandama;;13;239030
