"République Centrafricaine, Ouham Pendé",A
République Centrafricaine - Sibut (Kémo),A
"Twic County, Warrab State, Sudan",A
"Al Gash, River Atbara, Seteit, Nahr Atbara, New Halfa, Rural Khashm al-Girba, Gash, Kassala State, Sudan",A
"Derudeb  Haiya Localities, Red Sea State, Republic of Sudan",A
"Mvolo, Yirol West, Southern Sudan",A
"Sudan, Kassala State, Hamesh Koreib",A
"Republic of Sudan, Western Bahr El Ghazal State, Raga County",B
"West Darfur, Sudan",B
"Koinadugu, Wara Wara Yagala, Sengbe, Folosaba Dembelia, Dembelia Sinkunia, Kasonko.",B
"Bo District, Pujehun District, Kenema District, Sierra Leone",B
"Bonthe District, Sierra Leone",B
 ,
